Country,Code,Latitude,Longitude
Serbia,SRB,44.021,20.699
Seychelles,SYC,-4.6841,55.4924
Sierra Leone,SLE,8.677,-11.779
Singapore,SGP,1.3389,103.8297
Sint Maarten (Dutch part),SXM,18.034,-63.0544
Slovak Republic,SVK,48.8595,19.4434
Slovenia,SVN,46.037,14.534
Solomon Islands,SLB,-9.5987,160.1487
Somalia,SOM,2.875,43.446
South Africa,ZAF,-31.7,23.441
South Sudan,SSD,7.1,30.48
Spain,ESP,40.617,-3.388
Sri Lanka,LKA,7.3,80.727
St. Kitts and Nevis,KNA,17.147,-62.58
St. Lucia,LCA,13.909,-60.9776
St. Martin (French part),MAF,18.0848,-63.0507
St. Vincent and the Grenadines,VCT,13.2528,-61.1949
Sudan,SDN,15.739,29.533
Suriname,SUR,4.248,-55.848
Sweden,SWE,66.2188,19
Switzerland,CHE,46.7794,8.0329
Syrian Arab Republic,SYR,35.303,38.322
Tajikistan,TJK,38.367,72.597
Tanzania,TZA,-5.651,34.146
Thailand,THA,15.688,100.845
Timor-Leste,TLS,-8.856,125.556
Togo,TGO,7.7,1.106
Tonga,TON,-21.167,-175.19
Trinidad and Tobago,TTO,10.4435,-61.2604
Tunisia,TUN,35.594,9.421
Turkey,TUR,39.144,34.188
Turkmenistan,TKM,39.584,59.597
Tuvalu,TUV,-7.4786,178.6758
Uganda,UGA,1.9392,32.7415
Ukraine,UKR,49.364,32.132
United Arab Emirates,ARE,23.9299,53.9031
United Kingdom,GBR,52.289,-1.259
United States,USA,40.0792,-98.8164
Uruguay,URY,-32.948,-56.249
Uzbekistan,UZB,41.757,63.958
Vanuatu,VUT,-15.339,166.89
"Venezuela, RB",VEN,6.983,-64.588
Vietnam,VNM,21.75,105.373
Virgin Islands (U.S.),VIR,17.7289,-64.7592
"Yemen, Rep.",YEM,15.569,47.793
Zambia,ZMB,-15.13,25.268
Zimbabwe,ZWE,-19.098,30.047
